id,name,group
001,HIRO,CEO
002,松本利夫,BABY NAIL
003,MAKIDAI,BABY NAIL
004,ÜSA,BABY NAIL
005,GS,DOBERMAN INFINITY
006,橘ケンチ,"EXILE, EXILE THE SECOND"
007,KUBO-C,DOBERMAN INFINITY
008,ATSUSHI,EXILE
009,P-CHO,DOBERMAN INFINITY
010,TETSUYA,"EXILE, EXILE THE SECOND"
011,AKIRA,"EXILE, EXILE THE SECOND"
012,NESMITH,"EXILE, EXILE THE SECOND"
013,NAOTO,"EXILE, 三代目J SOUL BROTHERS"
014,小林直己,"EXILE, 三代目J SOUL BROTHERS"
015,TAKAHIRO,EXILE
016,山下健二郎,三代目J SOUL BROTHERS
017,SHOKICHI,"EXILE, EXILE THE SECOND"
018,SWAY,"DOBERMAN INFINITY, 劇団EXILE"
019,今市隆二,三代目J SOUL BROTHERS
020,ØMI,三代目J SOUL BROTHERS
021,ELLY,三代目J SOUL BROTHERS
022,岩田剛典,"EXILE, 三代目J SOUL BROTHERS"
023,LIKIYA,THERAMPAGE
024,世界,"EXILE, FANTASTICS"
025,KAZUKI,DOBERMAN INFINITY
026,数原龍友,GENERATIONS
027,中務裕太,GENERATIONS
028,白濱亜嵐,"EXILE, GENERATIONS"
029,澤本夏輝,FANTASTICS
030,陣,THERAMPAGE
031,RIKU,THERAMPAGE
032,片寄涼太,GENERATIONS
033,佐藤大樹,"EXILE, FANTASTICS"
034,神谷健太,THERAMPAGE
035,小森隼,GENERATIONS
036,SUZUKI,WOLF HOWL HARMONY
037,与那嶺瑠唯,THERAMPAGE
038,山本彰吾,THERAMPAGE
039,佐野玲於,GENERATIONS
040,日髙竜太,BALLISTIK BOYZ
041,瀬口黎弥,FANTASTICS
042,中尾翔太,FANTASTICS
043,RYOJI,WOLF HOWL HARMONY
044,SHOW,THE JET BOY BANGERZ
045,加納嘉将,BALLISTIK BOYZ
046,川村壱馬,THERAMPAGE
047,吉野北人,THERAMPAGE
048,岩谷翔吾,THERAMPAGE
049,剣,PSYCHIC FEVER
050,八木勇征,FANTASTICS
051,浦川翔平,THERAMPAGE
052,堀夏喜,FANTASTICS
053,藤原樹,THERAMPAGE
054,GHEE,WOLF HOWL HARMONY
055,武知海青,THERAMPAGE
056,中西椋雅,PSYCHIC FEVER
057,長谷川慎,THERAMPAGE
058,龍,THERAMPAGE
059,鈴木昂秀,THERAMPAGE
060,後藤拓磨,THERAMPAGE
061,海沼流星,BALLISTIK BOYZ
062,深堀未来,BALLISTIK BOYZ
063,AERON,THE JET BOY BANGERZ
064,木村慧人,FANTASTICS
065,中島颯太,FANTASTICS
066,奥田力也,BALLISTIK BOYZ
067,渡邉廉,PSYCHIC FEVER
068,NOSUKE,THE JET BOY BANGERZ
069,JIMMY,PSYCHIC FEVER
070,松井利樹,BALLISTIK BOYZ
071,砂田将宏,BALLISTIK BOYZ
072,TAKUMI,THE JET BOY BANGERZ
073,小波津志,PSYCHIC FEVER
074,YUHI,THE JET BOY BANGERZ
075,KOTA,THE JET BOY BANGERZ
076,半田龍臣,PSYCHIC FEVER
077,HIROTO,WOLF HOWL HARMONY
078,夫松健介,KID PHENOMENON
079,TAKI,THE JET BOY BANGERZ
080,WEESA,PSYCHIC FEVER
081,遠藤翼空,KID PHENOMENON
082,岩城星那,LIL LEAGUE
083,中村竜大,LIL LEAGUE
084,HINATA,THE JET BOY BANGERZ
085,SHIGETORA,THE JET BOY BANGERZ
086,山田晃大,LIL LEAGUE
087,AOI,THE JET BOY BANGERZ
088,岡尾琥珀,KID PHENOMENON
089,川口蒼真,KID PHENOMENON
090,佐藤峻乃介,KID PHENOMENON
091,山本光汰,KID PHENOMENON
092,鈴木瑠偉,KID PHENOMENON
093,岡尾真虎,LIL LEAGUE
094,百田隼麻,LIL LEAGUE
095,難波碧空,LIL LEAGUE
096,青柳翔,劇団EXILE
097,小澤雄太,劇団EXILE
098,八木将康,劇団EXILE
099,佐藤寛太,劇団EXILE
100,櫻井佑樹,劇団EXILE
101,鈴木伸之,俳優
102,町田啓太,俳優
103,小野塚勇人,俳優
104,早乙女太一,俳優
105,塩野瑛久,俳優
106,前田拳太郎,俳優
107,,
108,,
109,,
110,,
111,,
112,,
113,,
114,,
115,,
116,,
117,,
118,,
119,,
120,,
121,,
122,,
123,,
124,,
125,,
126,,
127,,
128,,
129,,
130,,
131,,
132,,
133,,
134,,
135,,
136,,
137,,
138,,
139,,
140,,
141,,
142,,
143,,
144,,
145,,
146,,
147,,
148,,
149,,
150,,
